Iteration,Altitude (km),Total Mass (kg),Delta-V (m/s),Stage 1 Dry Mass (kg),Stage 2 Dry Mass (kg),Stage 1 Propellant Mass (kg),Stage 2 Propellant Mass (kg)
0,0.0,102000.0,15701.780004265438,5600.0,2000.0,74400.0,18000.0
1,0.0,353049.3178676201,21312.511533709116,177909.46226428734,64059.855603332755,89280.0,19800.0
2,0.0,385706.54579195555,21665.401039648885,187985.55242655883,66804.99336539673,107136.0,21780.0
3,0.0,410970.6668520394,21904.852284246215,189455.31633532155,66994.1505167179,128563.2,23958.0
4,0.0,240609.64365583807,19474.667916904582,35184.79455582181,22795.209100016258,154275.84,26353.8
5,0.0,265278.5187801436,19817.20096096785,28187.129637328828,20971.20114281475,185131.008,28989.18
6,0.0,306440.42418311385,20357.191372581015,29408.7876408502,20986.32894226364,222157.2096,31888.098
7,0.0,326869.8810358407,20361.967691612772,15131.240697739655,8073.081018101072,266588.65152,35076.9078
8,0.0,384783.43740499375,20976.874485602762,16663.579111944488,7628.877889049249,319906.38182400004,38584.59858
9,0.0,455575.7355653444,21625.42925807427,19510.316525270908,7734.702413273409,383887.65818880004,42443.058438
10,0.0,536580.2322254911,22222.703603006474,21190.65852622613,6037.01959090495,460665.18982656003,46687.3642818
11,0.0,638363.949086599,22906.809449737255,25261.54423437919,6948.076350367711,552798.2277918721,51356.100709980004
12,0.0,760261.6769261868,23597.591596192324,30257.54875074123,8154.544044221032,663357.8733502466,56491.71078097801
13,0.0,903595.2853266492,24249.74696987648,36051.94794444708,7373.007502830355,796029.4480202959,62140.88185907581
14,0.0,1077372.3822739352,24942.42894077221,43242.53993180255,8539.534672794085,955235.3376243551,68354.97004498339
15,0.0,1285367.1568075975,25639.21001780469,51884.065216194176,10010.219392695455,1146282.405149226,75190.46704948173
